Index,Interest,Credit,Gender,Previous,Duration,Churn
0,17546,1,0,0,48,NO
1,30085.1,3,1,1,40,YES
2,16575.4,0,0,1,51,YES
3,20375.4,3,0,0,23,YES
4,50576.3,0,0,0,57,NO
5,37869.6,2,0,0,,YES
6,8877.1,0,,0,,YES
7,24946.6,0,,1,,YES
8,25304.3,2,,1,,NO
9,24212.1,2,,1,,YES
10,59803.9,0,,0,,YES
11,26658.8,0,0,1,52,YES
12,15735.8,1,0,0,44,YES
13,,1,0,1,66,YES
14,,0,1,0,36,YES
15,,0,0,1,38,YES
16,,2,0,0,37,NO
17,,0,0,0,46,NO
18,,0,0,0,62,NO
19,,0,1,1,31,YES
20,,2,1,0,61,NO
21,,2,1,0,50,YES
22,,0,1,0,54,YES
23,,0,0,1,27,YES
24,,2,1,1,22,YES
25,41034,0,1,1,56,YES
26,20809.7,0,1,0,45,YES
27,20114,1,0,0,39,YES
28,29359.1,3,0,1,39,YES
29,24270.1,1,1,0,61,YES
30,22942.9,2,0,0,61,YES
31,16325.8,2,,0,20,NO
32,23443.2,1,,1,45,YES
33,29921.3,3,,1,33,NO
34,37521.9,0,,0,,YES
35,19868,2,0,0,,YES
36,10953,3,1,1,19,YES
37,13381,0,0,1,36,YES
38,18504.3,0,0,1,43,YES
39,25391.5,2,0,0,66,YES
40,26774.2,0,1,0,55,YES
41,26952.6,0,0,1,47,YES
42,55716.5,2,1,1,67,NO
43,27571.5,0,0,1,32,YES
44,13740,2,,1,,YES
45,52670.6,2,,0,,YES
46,13283.9,1,0,1,,YES
47,13106.6,2,1,0,,YES
48,39547.8,2,1,1,,YES
49,17867.3,2,0,1,47,NO
50,14309.7,2,1,1,24,NO
51,,0,1,0,36,NO
52,,1,1,0,43,YES
53,,1,1,0,48,YES
54,,0,1,0,63,YES
55,,3,0,0,52,NO
56,,0,0,0,58,YES
57,23124.9,0,1,0,28,YES
58,15143.8,0,0,0,29,YES
59,25334.3,1,1,1,34,YES
60,24763.3,1,0,0,42,YES
61,36589,1,0,1,65,YES
62,27022.6,2,1,0,47,YES
63,11700.4,0,1,0,20,NO
64,5014.2,0,1,1,21,YES
65,17390.1,0,1,0,,YES
66,10861,2,1,0,,YES
67,,0,0,0,,YES
68,,2,1,0,,YES
69,10441.9,2,0,0,,YES
70,14064.9,3,1,1,25,YES
71,8062.7,0,1,0,21,YES
72,31982,3,,1,36,YES
73,23197.5,2,,0,58,NO
74,52674,2,,1,64,YES
75,35610.5,2,0,1,59,NO
76,26948,0,0,0,45,YES
77,49456.7,1,1,1,61,YES
78,14724.5,0,0,1,30,YES
79,34524.9,2,0,1,58,NO
80,22052.1,3,0,0,50,YES
81,27808.1,3,1,0,30,YES
82,12591.4,1,0,0,29,YES
83,16394.4,1,1,0,35,YES
84,24026.1,0,1,0,62,YES
85,31683.1,1,1,1,36,YES
86,15525,0,0,0,25,YES
87,22562.2,0,,1,66,YES
88,15848.7,0,,1,30,NO
89,31095.6,2,,0,54,YES
90,24814.5,1,1,1,37,YES
91,25429.3,2,0,0,28,YES
92,34866.5,0,0,0,53,YES
93,42579.1,2,1,1,61,YES
94,41127.4,0,0,1,61,NO
95,9990.1,0,0,0,18,YES
96,,1,1,0,22,NO
97,,2,1,1,34,YES
98,,2,0,0,,YES
99,,0,0,1,,YES
100,,1,1,0,,YES
101,,2,0,1,27,YES
102,15499.9,0,1,1,42,YES
103,33088.5,0,1,0,43,YES
104,34513.6,1,0,0,64,YES
105,32395.5,3,1,1,43,YES
106,46633,0,1,1,49,NO
107,13039.9,0,1,0,23,YES
108,12681.9,0,1,0,23,YES
109,24031.5,2,0,1,30,YES
110,37330.5,2,1,0,36,YES
111,25333.2,3,1,1,34,NO
112,,0,0,1,51,YES
113,,2,1,1,36,YES
114,43228.2,1,1,1,56,YES
115,47796.8,0,0,0,54,YES
116,21730.3,2,0,0,56,NO
117,10044.1,3,1,0,26,YES
118,17270.1,0,,1,39,NO
119,45765,3,,1,64,YES
120,29525.5,2,,0,46,NO
121,54863.8,1,,1,62,YES
122,20799,1,0,0,36,NO
123,33028.3,1,0,0,35,YES
124,45031.9,3,1,1,47,NO
125,39010.8,2,1,0,47,YES
126,25257.7,0,0,1,,YES
127,42603.9,0,0,0,,YES
128,14092.7,3,1,1,,YES
129,21350.3,0,0,1,27,YES
130,23246.4,2,1,0,43,YES
131,41609.5,3,1,0,61,YES
132,16716.1,2,0,1,52,YES
133,36436.4,0,0,1,64,YES
134,59503.8,2,0,1,66,YES
135,31334.8,1,0,1,53,YES
136,14048.9,2,0,1,20,YES
137,39205.3,0,0,0,57,YES
138,42173.9,0,0,0,65,YES
139,55263,1,0,0,64,YES
140,37095.2,3,1,0,52,YES
141,22791.4,0,0,0,47,YES
142,17240.6,1,0,1,28,NO
143,48974.8,0,1,1,64,YES
144,18923,1,1,0,25,YES
145,51204.2,0,1,0,58,NO
146,,2,1,1,34,YES
147,,2,0,0,20,YES
148,,0,1,1,63,NO
149,,3,0,1,30,YES
150,,1,1,1,53,YES
151,,2,1,1,43,YES
152,,2,1,0,63,NO
153,24760.8,1,1,0,33,YES
154,23356.1,2,1,1,41,NO
155,8143.8,2,0,0,20,YES
156,26462.5,0,1,1,,YES
157,20467.3,2,1,1,,YES
158,21506.2,0,0,0,,YES
159,15315.3,1,0,0,,YES
160,18875.7,2,1,1,23,YES
161,12977.2,0,0,0,40,NO
162,20708.5,3,0,0,49,YES
163,7549.4,1,0,1,21,YES
164,24904,0,0,0,40,NO
165,24071.8,1,1,0,26,YES
166,9589.9,1,1,0,20,YES
167,8562.9,1,1,0,24,NO
168,26707.5,0,0,1,37,YES
169,34020.5,0,1,0,56,YES
170,49175.7,0,1,1,52,YES
171,19726.3,2,1,0,22,YES
172,24346.6,3,1,1,35,YES
173,26999.4,1,1,1,34,YES
174,41558.1,2,0,0,67,YES
175,56340.3,0,0,0,58,YES
176,37558.5,0,1,1,40,YES
177,30099.3,0,0,1,41,YES
178,15254.8,0,1,0,43,NO
179,36086.1,2,1,0,63,YES
180,17655,1,0,0,22,YES
181,56658.9,0,1,0,60,YES
182,37706.5,0,0,1,65,YES
183,18516,2,0,1,48,YES
184,29622,0,0,1,38,NO
185,32669.9,1,1,1,49,YES
186,18275.5,0,0,0,20,NO
187,34410,1,0,0,48,YES
188,34866.9,2,1,1,38,YES
189,21796.6,0,0,0,41,YES
190,63130.1,2,0,1,67,YES
191,14996.4,1,1,1,39,NO
192,49024.9,3,0,0,64,YES
193,16249.8,0,1,1,41,YES
194,36192.1,2,1,1,55,YES
195,17839.9,1,1,0,52,NO
196,18802.4,0,0,0,30,YES
197,48720.3,2,1,1,52,YES
198,14585.9,2,1,0,26,YES
199,20819,0,0,0,26,YES
200,26077.8,1,1,1,46,YES
201,41627.1,0,0,0,,YES
202,16977.3,0,1,0,,YES
203,19012.8,3,1,1,,YES
204,12764.8,1,1,0,,YES
205,14388.6,0,1,1,18,YES
206,59409.1,0,1,1,63,YES
207,14960.2,0,0,0,25,YES
208,39666.6,0,1,1,67,YES
209,20771.9,0,1,0,27,NO
210,24474.1,0,1,1,61,NO
211,33123.7,1,1,1,58,YES
212,14433.4,0,1,1,22,YES
213,13175.5,1,1,0,28,YES
214,9824.4,0,1,0,23,YES
215,17610.3,0,1,0,27,YES
216,15156.2,0,0,1,27,YES
217,31774.1,3,0,1,40,YES
218,31693.5,0,1,1,39,NO
219,28598.7,0,0,1,35,YES
220,26261.7,2,0,1,37,NO
221,42124.1,2,1,0,47,YES
222,39308.7,1,0,0,42,YES
223,43530,0,0,0,67,YES
224,49874.4,3,1,0,57,YES
225,27434.8,0,0,1,47,YES
226,50474.6,2,1,1,67,YES
227,24888.2,0,1,0,56,YES
228,28021.6,0,1,1,37,YES
229,12279.5,0,1,1,27,NO
230,30189.4,0,0,1,59,YES
231,28969.4,1,1,0,31,YES
232,14058.5,0,1,0,31,YES
233,30404.3,0,0,1,32,YES
234,41438.2,3,0,0,57,NO
235,16711.3,1,0,0,49,YES
236,52255.9,2,1,1,65,YES
237,17866.9,2,0,0,22,YES
238,18067.5,2,0,0,26,NO
239,12823.7,0,1,1,23,YES
240,11299.3,2,0,1,26,NO
241,56031.1,0,0,1,59,YES
242,35263.5,1,1,1,67,YES
243,19968.1,0,0,1,34,YES
244,27825.5,2,1,1,50,NO
245,37773.9,0,1,1,46,YES
246,7606.3,3,0,1,23,NO
247,21384.4,0,1,0,26,YES
248,20347,3,1,0,,YES
249,21332.3,3,1,1,,YES
250,57671.7,0,1,0,,YES
251,36057.8,1,0,1,45,YES
252,14290.5,2,1,0,23,YES
253,17882.9,1,0,0,42,NO
254,10629.1,3,0,0,21,YES
255,24262.8,0,0,1,62,YES
256,26097.9,2,0,0,49,YES
257,23371,2,0,0,28,YES
258,21495.6,3,0,0,38,YES
259,12166.9,0,1,0,36,NO
260,17180.2,0,1,0,22,YES
261,28882.3,1,0,0,40,YES
262,21612.2,0,0,0,40,YES
263,46358.4,0,0,1,60,YES
264,19166,0,1,1,23,NO
265,17921.8,1,1,1,21,NO
266,33229,0,1,1,58,YES
267,30396.1,0,0,0,48,YES
268,34625.2,0,0,1,63,YES
269,16672.8,3,1,1,20,YES
270,60747.5,2,0,0,67,YES
271,56394.3,0,0,1,62,YES
272,13236.4,0,1,0,36,YES
273,28409.4,1,1,1,31,YES
274,27056.5,0,0,1,42,YES
275,9362.6,0,1,1,18,YES
276,28702.7,1,0,0,46,YES
277,22366.1,1,1,1,25,YES
278,24477.5,0,0,0,65,NO
279,36972.4,1,1,0,40,YES
280,22327.8,1,1,0,32,NO
281,15610.2,0,0,0,18,YES
282,54314.5,1,1,1,64,NO
283,39175.8,3,0,0,43,YES
284,13739,3,0,0,22,YES
285,9485.8,0,1,0,25,NO
286,24675.7,1,1,1,39,YES
287,28253.6,3,0,0,58,YES
288,14136.5,1,1,0,33,NO
289,37162.1,1,0,1,52,YES
290,13519.2,0,1,0,23,YES
291,39253.6,0,0,1,44,NO
292,46323.8,2,1,1,51,YES
293,20950.7,0,0,0,26,YES
294,22495.7,0,1,0,42,NO
295,32548.9,0,1,1,34,YES
296,24583.4,2,0,1,54,YES
297,8639.2,2,1,0,,NO
298,17139.5,2,0,1,,YES
299,13667.7,0,0,0,,YES
300,8162.4,1,0,1,,YES
301,15349.6,0,0,0,37,NO
302,29231.4,0,0,0,45,NO
303,41462.3,3,1,0,49,YES
304,57398.1,3,0,0,67,YES
305,11520.8,0,0,0,35,YES
306,52117.3,2,1,1,63,YES
307,26281.4,0,1,1,38,YES
308,25683.4,2,1,1,48,YES
309,11920.7,1,0,0,28,YES
310,30658.7,0,1,0,46,YES
311,36646.4,1,1,0,66,YES
312,30760.4,2,0,1,61,YES
313,16109.9,2,0,1,18,YES
314,18036.7,0,0,1,54,NO
315,42628.3,0,1,1,45,YES
316,22110.1,2,1,1,60,YES
317,37689.1,1,0,0,45,YES
318,23171.8,2,0,0,31,NO
319,21951.3,0,1,1,39,YES
320,38103.4,2,1,1,53,YES
321,22882.9,0,1,1,35,NO
322,11043.7,1,0,1,25,NO
323,24027.6,0,1,0,32,YES
324,28495.1,0,1,0,36,YES
325,9465.2,0,0,0,24,YES
326,34852.3,1,1,0,,NO
327,21268.4,0,1,0,,YES
328,50849.2,1,0,0,,NO
329,18555.9,3,0,0,27,YES
330,52769.9,3,0,1,66,YES
331,11601.4,2,0,0,18,YES
332,29541.7,0,0,0,33,NO
333,17861,2,1,0,48,YES
334,21042,1,0,0,23,YES
335,26688.1,1,1,0,44,NO
336,26900.6,2,1,0,39,NO
337,38080.9,1,1,1,65,NO
338,37554.1,2,1,1,60,YES
339,18184.6,0,1,0,20,YES
340,28864.9,0,0,0,45,YES
341,48346.1,1,1,1,66,NO
342,53104.3,0,1,1,64,YES
343,19416.8,0,0,0,51,YES
344,23638.1,2,1,1,34,YES
345,42378.2,1,0,0,65,YES
346,39745.3,0,1,1,50,NO
347,45189.8,0,0,0,66,NO
348,37930.9,0,1,0,63,NO
349,24042,1,0,0,53,YES
350,31207.1,0,0,1,33,YES
351,24424.3,0,1,0,38,YES
352,24607.8,1,0,0,56,YES
353,43057,1,1,1,48,YES
354,30198.5,0,0,1,49,YES
355,50186.1,2,0,0,54,YES
356,22916.1,0,0,0,41,YES
357,9592.7,0,1,0,19,YES
358,34253.6,3,0,1,52,YES
359,22792.3,1,0,1,52,NO
360,51620.8,2,0,1,64,YES
361,19918.9,3,1,0,56,YES
362,29625.1,2,1,0,56,YES
363,12549,0,0,0,19,YES
364,51299.3,1,0,1,56,NO
365,17364.8,2,1,1,27,NO
366,29866.9,1,0,1,59,YES
367,47750.2,0,1,1,56,YES
368,11281.5,0,1,0,21,YES
369,34073.8,3,1,0,64,NO
370,46870.4,0,1,0,62,YES
371,38453.7,2,0,0,44,YES
372,7756.4,0,0,0,24,NO
373,28413.8,0,0,0,52,YES
374,47198.6,2,0,0,67,YES
375,20866.3,0,1,1,41,YES
376,33204.3,1,0,0,58,NO
377,24823.5,2,1,0,40,YES
378,17986.8,0,1,0,19,YES
379,9909.8,3,0,0,20,YES
380,26542.8,0,0,1,56,YES
381,32583.5,2,0,1,46,YES
382,14606.6,1,1,0,30,YES
383,34836.8,1,0,1,,YES
384,26920.8,0,0,0,,YES
385,38248.3,3,0,1,,YES
386,15689.1,0,1,0,49,YES
387,30157.7,1,1,1,61,NO
388,14642.2,0,1,1,29,YES
389,15933.3,0,0,0,48,NO
390,44288.3,0,0,0,56,YES
391,22197.1,0,1,1,40,YES
392,38248.3,3,0,1,58,NO
393,22053.2,2,0,1,60,NO
394,25468.5,0,0,1,58,NO
395,23485.9,3,0,1,67,NO
396,25768.6,0,1,1,40,NO
397,34182.2,2,1,0,48,YES
398,57444.5,1,0,0,64,YES
399,38059.8,0,1,1,43,NO
400,19481.3,0,0,0,34,YES
401,19563.8,3,1,1,26,NO
402,38598.4,0,1,1,48,YES
403,20754.3,0,1,0,35,NO
404,13864.6,3,0,0,24,YES
405,36599,3,1,1,47,YES
406,45856.1,1,1,0,52,YES
407,22362.3,0,1,0,31,YES
408,21984,1,0,1,41,NO
409,11073,2,1,0,23,NO
410,18158.5,1,0,1,27,YES
411,7304.2,0,1,1,22,YES
412,58092,2,0,1,67,YES
413,,0,0,1,26,YES
414,,0,0,0,58,YES
415,,0,1,0,27,YES
416,,1,1,0,,NO
417,22848.5,1,1,1,,NO
418,25699.4,2,0,1,,NO
419,21612.6,0,1,0,,YES
420,48950.9,0,1,1,,YES
421,41438,1,1,0,49,NO
422,11411,1,1,1,22,YES
423,43940.6,0,0,1,58,YES
424,17239.5,1,1,1,20,YES
425,30488.7,0,0,0,44,YES
426,29866.3,3,0,0,65,NO
427,32184.4,2,0,1,53,NO
428,17308.7,1,0,1,34,YES
429,,2,1,0,35,YES
430,,0,1,0,48,NO
431,,1,0,1,64,YES
432,16849.3,0,1,1,46,YES
433,28138.5,0,0,0,42,YES
434,23038.2,0,1,1,47,NO
435,11736.9,2,1,1,23,YES
436,16479.5,0,1,1,35,NO
437,31415.7,1,0,1,64,NO
438,12117.3,1,0,0,,YES
439,15417.1,1,1,1,,YES
440,29414.6,1,1,0,,NO
441,44682.1,0,1,1,47,YES
442,36281,0,0,1,43,YES
443,33302.8,0,1,1,38,YES
444,15797.1,0,0,0,21,YES
445,31864.8,0,1,1,40,YES
446,43719.5,0,0,0,52,YES
447,30799.5,2,0,0,35,YES
448,48971.6,3,1,1,53,NO
449,34061.4,0,0,1,38,YES
450,28938.6,3,1,1,42,NO
451,38540,0,1,1,,NO
452,27045.1,0,0,0,,YES
453,51284.3,0,0,1,,YES
454,16352.2,0,1,0,,YES
455,11866.4,0,0,1,27,YES
456,13267.6,0,0,1,32,YES
457,61554.6,0,0,0,65,YES
458,13700.2,1,1,0,18,YES
459,46963.9,1,1,0,66,YES
460,,0,1,1,41,YES
461,,0,0,1,64,NO
462,,0,0,1,23,YES
463,15237.6,2,0,1,29,YES
464,20555,0,1,1,28,YES
465,28421.7,2,0,1,57,YES
466,21876.5,0,1,0,38,YES
467,12810.2,3,0,0,34,YES
468,15109.4,0,1,0,43,YES
469,37414.7,3,1,1,63,YES
470,41521.6,0,0,0,62,YES
471,25372.8,0,0,1,51,YES
472,21139.8,2,1,1,61,NO
473,27757.6,0,0,0,41,YES
474,22678.1,1,0,1,31,YES
475,12178.5,2,0,0,33,YES
476,,1,1,0,43,YES
477,,0,1,0,40,YES
478,,2,1,0,47,YES
479,43395.5,1,1,1,46,YES
480,11536.2,2,1,0,30,YES
481,44658.6,2,1,1,47,YES
482,32762.5,0,1,0,44,YES
483,16403.8,0,1,1,,NO
484,21184.7,1,0,1,,YES
485,49917.3,0,0,1,,YES
486,21623.8,0,0,0,,NO
487,16625.9,1,1,0,19,YES
488,14014.5,3,0,0,27,NO
489,20409.3,2,1,0,27,NO
490,31671.3,1,0,1,58,NO
491,,1,0,1,46,YES
492,,0,0,1,61,NO
493,,0,1,0,59,YES
494,43743.2,3,0,0,47,YES
495,38459.9,0,1,0,44,NO
496,40972.9,2,1,1,50,YES
497,46587.9,0,1,0,64,YES
498,43799.6,0,0,0,51,YES
499,18912.2,0,0,1,46,YES
500,27765.8,3,0,1,,NO
501,33007.3,1,0,1,,YES
502,26325.3,0,0,1,,NO
503,15308.2,0,0,1,,YES
504,59805.6,1,0,1,,YES
505,28658.3,0,0,1,35,YES
506,23175,0,0,0,59,NO
507,,0,0,1,22,YES
508,,2,1,0,60,YES
509,,2,0,1,23,YES
510,13327.8,0,0,0,29,NO
511,16088.8,3,1,0,44,YES
512,43943,0,0,1,63,YES
513,14505.3,3,0,0,25,YES
514,33886.4,0,1,1,37,NO
515,16662.5,1,0,0,48,YES
516,20262.6,0,0,0,35,NO
517,33615.4,1,1,0,51,NO
518,22007.1,3,0,0,27,YES
519,28981.1,3,0,1,56,YES
520,12163.9,2,0,1,38,YES
521,17247.7,2,0,1,36,YES
522,,3,1,0,27,YES
523,,0,0,1,34,NO
524,,0,1,1,44,YES
525,,1,0,0,43,YES
526,,2,1,0,32,NO
527,10672,1,0,0,21,YES
528,25830.5,2,0,0,30,YES
529,43499.5,1,1,1,55,YES
530,59175.1,1,1,0,64,YES
531,27642.9,1,0,1,36,NO
532,30067.5,1,1,0,59,YES
533,29714.4,0,1,,60,YES
534,13950.4,1,0,,27,YES
535,10072.6,0,1,,29,YES
536,37850.6,1,0,,53,YES
537,57176.4,2,0,0,61,YES
538,38784,0,0,0,43,YES
539,10191.8,0,1,0,19,YES
540,21821.4,1,0,1,48,NO
541,37389,2,1,0,39,YES
542,,2,1,1,32,YES
543,,1,1,1,63,NO
544,,1,1,1,46,YES
545,,0,1,0,40,YES
546,15281.8,0,0,1,27,NO
547,9317,2,1,1,22,YES
548,20736.2,1,1,1,42,YES
549,52662.5,1,0,1,58,YES
550,8020.2,1,0,1,23,YES
551,32245.4,3,1,0,58,NO
552,41107.2,2,1,1,45,YES
553,39358.3,0,0,1,49,NO
554,36095.9,3,0,,67,YES
555,,2,0,,20,YES
556,,1,0,,43,YES
557,25132.9,0,1,0,41,YES
558,31290.6,0,0,0,38,YES
559,24858.4,0,0,0,67,YES
560,16398.8,1,1,0,40,YES
561,23287.9,0,0,0,25,YES
562,50897.6,0,0,0,57,YES
563,22446.5,1,0,0,32,YES
564,23092.1,0,1,1,44,YES
565,24867.6,0,1,1,30,NO
566,22234.7,0,1,0,43,YES
567,17371.1,2,0,1,19,YES
568,29574,0,0,1,37,YES
569,17944.2,1,1,1,49,YES
570,33665.5,3,0,1,49,YES
571,36166.2,0,1,0,40,NO
572,27712.9,2,0,0,33,YES
573,22400.7,2,1,1,39,YES
574,28469.9,0,0,1,43,YES
575,30488,0,1,0,37,YES
576,19160.3,1,0,1,24,YES
577,45342.5,0,1,1,62,NO
578,6294.2,0,1,0,18,YES
579,25127.7,0,0,1,47,NO
580,51879.3,2,1,1,63,NO
581,12644.9,2,1,1,20,YES
582,21984.4,3,0,0,46,NO
583,29093.1,2,0,1,47,YES
584,23528.4,1,1,0,33,YES
585,9516.9,3,1,1,20,YES
586,18364.9,1,1,0,20,YES
587,31273.8,1,0,1,43,NO
588,,0,1,0,58,YES
589,,1,1,1,29,YES
590,,0,1,0,25,NO
591,31473.9,2,0,0,40,YES
592,20268,0,1,0,48,YES
593,51417,2,1,0,65,YES
594,30971.8,3,0,1,,YES
595,47025,2,0,1,,YES
596,9672.3,0,0,1,,YES
597,15976.3,0,0,1,,NO
598,14711.8,0,1,0,29,NO
599,26671.6,0,1,1,38,YES
